Country ID,Country Name,PA Category,# PAs,Mean area of PAs,Area of largest PA,Name of largest PA,Year of establ. Of largest PA
239,Uganda,IV,1,187.95,187.95,Otze Forest White Rhino,1946
239,Uganda,V,1,1168.11,1168.11,Imatong,1952
239,Uganda,VI,14,610.67,2876.89,Kidepo,1975
240,Ukraine,ALL,1272,20.09,2590.41,Podolskie Tovtry,1996
240,Ukraine,Ia,19,243.32,2159.0,Paleski Radyaytsina-Ekalagichny,0
240,Ukraine,II,9,607.1,2590.41,Podolskie Tovtry,1996
240,Ukraine,III,205,1.92,27.7,Sopit,1984
240,Ukraine,IV,1009,7.68,352.48,Klevenskiy,1994
240,Ukraine,V,28,247.29,1333.65,Muntii Maramuresului,2005
240,Ukraine,VI,2,194.95,217.29,Mityakinskiy,0
241,United Arab Emirates,ALL,2,73.83,145.69,Bul Syayeef,2016
241,United Arab Emirates,IV,1,145.69,145.69,Bul Syayeef,2016
241,United Arab Emirates,VI,1,1.96,1.96,Al Zorah,2016
242,United Kingdom,ALL,10033,8.24,4517.96,Cairngorms,2003
242,United Kingdom,Ia,14,0.7,4.16,"The Reef, Tiree",1993
242,United Kingdom,II,24,54.63,198.05,Forsinard Flows,1993
242,United Kingdom,III,346,1.71,144.53,Parallel Roads of Lochaber,1964
242,United Kingdom,IV,8970,3.29,739.09,Loch Sunart to the Sound of Jura,2014
242,United Kingdom,V,678,75.58,4517.96,Cairngorms,2003
242,United Kingdom,VI,1,29.87,29.87,Isle of Eigg,1978
243,United States,ALL,33225,167.75,1516555.34,Papahānaumokuākea Marine National Monument,2006
243,United States,Ia,582,2618.52,1516555.34,Papahānaumokuākea Marine National Monument,2006
243,United States,Ib,1329,371.37,29193.72,Gates of the Arctic,1996
243,United States,II,67,2313.52,40615.18,Wrangell-St. Elias,1980
243,United States,III,1806,4.08,2411.84,Anza-Borrego Desert,0
243,United States,IV,737,3476.95,866716.79,"Steller Sea Lion Protection Areas, Gulf",2002
243,United States,V,28276,18.35,33355.31,Nunivak/Etolin/Kuskokwim,2008
243,United States,VI,428,729.27,222180.58,Northern Bering Sea,2008
244,United States Minor Outlying Islands,ALL,17,165597.63,1516555.34,Papahānaumokuākea Marine National Monument,2006
244,United States Minor Outlying Islands,Ia,11,139016.49,1516555.34,Papahānaumokuākea Marine National Monument,2006
244,United States Minor Outlying Islands,IV,5,1638.77,2366.11,Midway Atoll,1988
244,United States Minor Outlying Islands,V,1,1277784.47,1277784.47,Pacific Remote Islands,2009
245,Uruguay,ALL,17,182.2,867.84,Humedales del Santa Lucia,2010
245,Uruguay,Ia,1,109.69,109.69,Estação Ecológica Do Taim,1986
245,Uruguay,II,4,127.61,243.93,Cabo Polonio,2009
245,Uruguay,III,1,0.15,0.15,Grutas del Palacio,2012
245,Uruguay,IV,4,144.65,369.96,Laguna Garzón,1977
245,Uruguay,V,4,203.7,357.59,Laguna de Rocha,2010
245,Uruguay,VI,3,361.27,867.84,Humedales del Santa Lucia,2010
246,Uzbekistan,ALL,19,1078.79,6336.95,Ugam-Chatkal,1990
246,Uzbekistan,Ia,11,869.47,5236.63,Kaplangurskiy,1979
246,Uzbekistan,II,2,3349.91,6336.95,Ugam-Chatkal,1990
246,Uzbekistan,IV,6,705.51,2889.32,Shasenem,1983
247,Vanuatu,ALL,4,16.96,34.85,Vatthe,1994
247,Vanuatu,III,1,2.15,2.15,President Coolidge and Million Dollar Point,1983
247,Vanuatu,VI,3,21.89,34.85,Vatthe,1994
249,Venezuela,ALL,118,4320.7,54248.35,Sur del Estado Bolívar,1974
249,Venezuela,II,44,3929.27,38061.28,Parima-Tapirapecó,1991
249,Venezuela,III,12,4332.91,51352.0,Formaciones de Tepuyes,1991
249,Venezuela,IV,8,226.31,455.32,Estero de Chiriguare,1974
249,Venezuela,V,41,2379.42,54248.35,Sur del Estado Bolívar,1974
249,Venezuela,VI,13,14276.39,53630.69,Imataca,1961
250,Vietnam,ALL,95,392.84,3740.44,Mondulkiri,1999
250,Vietnam,II,26,490.0,3399.22,Virachey,1993
250,Vietnam,IV,37,287.1,3740.44,Mondulkiri,1999
250,Vietnam,V,25,71.82,516.11,Rung Thong Da Lat,1977
250,Vietnam,VI,7,1737.32,3594.86,Nakai - Nam Theun,1993
251,"Virgin Islands, U.S.",ALL,31,11.56,150.31,St. Croix East End,2003
251,"Virgin Islands, U.S.",Ia,1,77.26,77.26,Buck Island Reef,1961
251,"Virgin Islands, U.S.",III,1,0.09,0.09,Smith Bay,0
251,"Virgin Islands, U.S.",IV,5,32.4,150.31,St. Croix East End,2003
251,"Virgin Islands, U.S.",V,24,4.96,60.07,Virgin Islands,1956
253,Western Sahara,ALL,1,1661.29,1661.29,Khenefiss National Park,2006
253,Western Sahara,II,1,1661.29,1661.29,Khenefiss National Park,2006
255,Zambia,ALL,68,3481.27,32420.93,West Zambezi,1971
255,Zambia,II,23,3450.87,22314.24,Kafue,1971
255,Zambia,III,1,26.62,26.62,Victoria Falls,1952
255,Zambia,IV,2,557.63,987.53,Vwaza Marsh Wildlife Reserve,1977
255,Zambia,V,1,3017.72,3017.72,Lake Kariba,1979
255,Zambia,VI,41,3736.51,32420.93,West Zambezi,1971
256,Zimbabwe,ALL,48,1247.63,14776.49,Hwange,1949
256,Zimbabwe,Ib,1,9.59,9.59,Chirinda,1951
256,Zimbabwe,II,16,2087.86,14776.49,Hwange,1949
256,Zimbabwe,III,1,26.62,26.62,Victoria Falls,1952
256,Zimbabwe,IV,2,439.09,752.26,Northern Tuli,1964
256,Zimbabwe,V,9,406.92,3017.72,Lake Kariba,1979
256,Zimbabwe,VI,19,1152.84,3419.03,Chewore,1964
